ToadLauncher,FALSE,,0.5,10,TRUE,2,10,1,,,,,,,,,FALSE,TRUE,3,8,0,0.12,1,0
Wandgun,TRUE,0.1,,15,TRUE,0.5,20,4,TRUE,0.1,,,,,,,FALSE,FALSE,,50,1.5,0.3,1,0
LazerOwl,FALSE,,1,100,FALSE,,,,,,,0.75,0.15,0.45,1,0,TRUE,FALSE,,10,1,1,1,0
ShotFUN,FALSE,,0.75,3,FALSE,,,,,,,4,0.1,0.6,1,0,FALSE,FALSE,,20,2,0.5,1,0
QuickWand,TRUE,0.5,,10,FALSE,,,,,,,1,0.5,0.5,1,0,FALSE,TRUE,1.5,15,0,0.4,1,0
QuintaStaff,FALSE,,0,8,TRUE,1.2,5,5,FALSE,,10,,,,,,TRUE,FALSE,,7,0.5,0.7,1,0
BasicWitch,FALSE,,0.3,25,TRUE,3,6,1,,,,,,,,,FALSE,FALSE,,20,2.5,0.7,1,0
Grimoire 3000',TRUE,0.2,,20,TRUE,0.8,3,4,FALSE,,90,,,,,,TRUE,TRUE,3,20,0,0.5,1,0
Wiccarme,TRUE,0.35,,15,TRUE,0.8,8,3,TRUE,0.2,,,,,,,TRUE,FALSE,,20,0.8,0.7,1,0
Lunarshot,FALSE,,0.3,30,FALSE,,,,,,,0.2,0.2,1,1,0,FALSE,TRUE,2,15,0.5,0.5,1,0
